藏匿	aaaa
特曼	cfjl
双喜临门	ccfkjtjt
对照	cfjv
对呀	cfka
对吧	cfkc
对吗	cfkc
特别	cfke
对味	cfkf
对号	cfkg
特号	cfkg
对路	cfkh
特遣	cfkh
对唱	cfkj
对口	cfkk
驱动器	cgfckk
圣恩	cfld
对转	cflf
特辑	cflk
特困	cfls
圣典	cfma
特典	cfma
对岸	cfmd
对峙	cfmf
对账	cfmt
对赠	cfmu
对内	cfmw
牡丹	cfmy
特异	cfna
圣殿	cfna
特快	cfnn
对局	cfnn
参考书	cdftnn
特性	cfnt
能动性	cefcnt
对应	cfoi
对焊	cfoj
圣火	cfoo
圣魔	cfos
对数	cfov
驱动精灵	cgfcogog
特定	cfpg
特写	cfpg
对家	cfpg
欢喜冤家	cqfkpqpq
对襟	cfpu
特案	cfpv
对空	cfpw
对它	cfpx
对视	cfpy
对错	cfqa
能者多劳	ceftqqqq
特色	cfqc
对勾	cfqc
鸡零狗碎	cqfwqtqt
对角	cfqe
对外	cfqh
对象	cfqk
特钢	cfqm
对饮	cfqn
特多	cfqq
对儿	cfqt
特急	cfqv
对撼	cfrd
特技	cfrf
特质	cfrf
对质	cfrf
对看	cfrh
圣所	cfrn
对换	cfrq
对白	cfrr
对折	cfrr
圣哲	cfrr
对打	cfrs
对杀	cfrs
对手	cfrt
圣手	cfrt
对接	cfru
特招	cfrv
特指	cfrx
特批	cfrx
对抗	cfry
特邀	cfry
特权	cfsc
对标	cfsf
对本	cfsg
双截棍	ccfasj
对歌	cfsk
对校	cfsu
驳壳枪	cgfpsw
特长	cfta
对么	cftc
对敌	cftd
特务	cfte
对待	cftf
特等	cftf
对等	cftf
圣徒	cftf
特征	cftg
特制	cftg
对簿	cfti
特种	cftk
特向	cftm
驱动程序	cgfctktk
对称	cftq
特称	cftq
对策	cfts
驱动盘	cgfctu
对答	cftw
欢声笑语	cqfntttt
特稿	cfty
对头	cfud
对半	cfug
对症	cfug
对着	cfuh
特意	cfuj
对冲	cfuk
圣兽	cful
对端	cfum
对决	cfun
参考资料	cdftuquq
特将	cfuq
对奖	cfuq
特效	cfur
特产	cfut
特首	cfut
双声道	ccfnut
对立	cfuu
对准	cfuw
特准	cfuw
对门	cfuy
特好	cfvb
观者如云	cmftvkvk
圣灵	cfvo
圣君	cfvt
圣女	cfvv
特供	cfwa
圣代	cfwa
对他	cfwb
对公	cfwc
对仗	cfwd
特优	cfwd
对付	cfwf
特例	cfwg
特使	cfwg
特命	cfwg
对倒	cfwg
圣剑	cfwg
对偶	cfwj
对保	cfwk
对侧	cfwm
对你	cfwq
圣体	cfws
特任	cfwt
对位	cfwu
圣僧	cfwu
对分	cfwv
特价	cfww
圣人	cfww
对华	cfwx
对焦	cfwy
特级	cfxb
圣经	cfxc
圣旨	cfxj
特强	cfxk
桑塔纳	ccfaxm
圣母	cfxn
特约	cfxq
对比	cfxx
特为	cfye
圣衣	cfye
对讲	cfyf
圣诗	cfyf
对证	cfyg
对齐	cfyj
特训	cfyk
圣训	cfyk
对调	cfym
对词	cfyn
对弈	cfyo
对话	cfyt
圣诞	cfyt
特许	cfyt
特设	cfyw
对谁	cfyw
通过率	cefpyx
对方	cfyy
马到功成	cggcaeae
驱散	cgae
马鞍	cgaf
马鞭	cgaf
驱邪	cgah
骀荡	cgai
马匹	cgaq
骑警	cgaq
驻区	cgar
骗子	cgbb
骄子	cgbb
马子	cgbb
骡子	cgbb
驴子	cgbb
驼子	cgbb
骗取	cgbc
骄阳	cgbj
驶出	cgbm
骤降	cgbt
驱除	cgbw
马队	cgbw
驻防	cgby
马戏	cgca
骁勇	cgce
骠勇	cgce
驰骋	cgcg
骑马	cgcg
骏马	cgcg
骆驼	cgcg
驸马	cgcg
马驹	cgcg
骠骑	cgcg
骁骑	cgcg
骐骥	cgcg
骑驴	cgcg
骡马	cgcg
骄矜	cgcn
马到成功	cggcdndn
驴友	cgdc
马鬃	cgde
骊威	cgdg
骑在	cgdh
马面	cgdl
马达	cgdp
骐达	cgdp
马克	cgdq
参天大树	cdgddddd
马帮	cgdt
马厩	cgdv
马斯	cgdw
骁龙	cgdx
马龙	cgdx
马太	cgdy
驯服	cgeb
马脚	cgef
马力	cgen
马脸	cgew
驻地	cgfb
驱动	cgfc
骚动	cgfc
驶去	cgfc
驮运	cgfc
马云	cgfc
骑墙	cgff
欢天喜地	cqgdfkfk
骑士	cgfg
骤雨	cgfg
驱赶	cgfh
骗走	cgfh
骤起	cgfh
马超	cgfh
驶进	cgfj
马场	cgfn
驻场	cgfn
马赫	cgfo
驶过	cgfp
骗过	cgfp
参与者	cdgnft
骤增	cgfu
马王堆	cgggfw
骗到	cggc
驶到	cggc
骤至	cggc
驱逐	cgge
马夫	cggg
马球	cggg
马来亚	cggugo
马列	cggq
马琳	cggs
马来	cggu
驶来	cggu
难于上青天	cwgfhhgegd
马上	cghh
骑上	cghh
马步	cghh
驻点	cghk
马虎	cghw
马具	cghw
驻港	cgia
驻波	cgib
验光	cgig
驰誉	cgig
马掌	cgip
参政党	cdghip
物理学	cqgjip
驻澳	cgit
驻沪	cgiy
验明	cgje
马里	cgjf
驱虫	cgjh
马蜂	cgjt
驱蚊	cgjy
马嘶	cgkd
驯顺	cgkd
骚味	cgkf
马路	cgkh
驻足	cgkh
马蹄	cgkh
骄躁	cgkh
驱遣	cgkh
驿路	cgkh
驴叫	cgkn
马车	cglg
骑车	cglg
验车	cglg
驱车	cglg
马甲	cglh
驳回	cglk
马圈	cglu
马贼	cgma
驳岸	cgmd
骗财	cgmf
骊山	cgmm
马凯	cgmn
驼峰	cgmt
驴肉	cgmw
马尾	cgne
验收	cgnh
马尿	cgni
骁悍	cgnj
骄慢	cgnj
骗局	cgnn
验尸	cgnn
特殊性	cfgqnt
马屁	cgnx
马粪	cgoa
马庄	cgof
马灯	cgos
驱魔	cgos
驼鹿	cgox
驱寒	cgpa
马赛	cgpa
驻守	cgpf
马天宇	cggdpg
驻军	cgpl
骇客	cgpt
骚客	cgpt
马褂	cgpu
马祖	cgpy
骗色	cgqc
驼色	cgqc
骤然	cgqd
骇然	cgqd
骗钱	cgqg
驼鸟	cgqg
驻外	cgqh
验钞	cgqi
驰名	cgqk
马甸	cgql
马钢	cgqm
骚包	cgqn
马儿	cgqt
骄狂	cgqt
驼铃	cgqw
驻留	cgqy
马勺	cgqy
骚扰	cgrd
驰援	cgre
骏捷	cgrg
驻扎	cgrn
马扎	cgrn
驶近	cgrp
驱迫	cgrp
驱鬼	cgrq
马哲	cgrr
骚气	cgrt
骄气	cgrt
骑手	cgrt
骑兵	cgrw
驻兵	cgrw
驳斥	cgry
骄横	cgsa
马桶	cgsc
马棚	cgse
验票	cgsf
驻村	cgsf
马来西亚	cggusgsg
马丁	cgsg
马可	cgsk
骊歌	cgsk
马刺	cgsm
马格	cgst
骗术	cgsy
马术	cgsy
骑术	cgsy
验核	cgsy
骤升	cgta
骚乱	cgtd
骚年	cgtg
马年	cgtg
骑行	cgtg
验算	cgth
马牌	cgth
骗得	cgtj
驱程	cgtk
验血	cgtl
驶向	cgtm
骑射	cgtm
验身	cgtm
马币	cgtm
驱策	cgts
骗税	cgtu
驳船	cgtu
骑乘	cgtu
驶入	cgty
驶往	cgty
骗入	cgty
骤减	cgud
马头	cgud
马兰	cgud
马前	cgue
驯养	cgug
驻美	cgug
驿站	cguh
骑着	cguh
驯兽	cgul
骁将	cguq
验资	cguq
骄恣	cguq
又一次	ccgguq
驻颜	cgut
驿道	cgut
马道	cgut
马背	cgux
驼背	cgux
马六	cguy
马刀	cgvn
驳杂	cgvs
马群	cgvt
邓丽君	cbgmvt
马仔	cgwb
马会	cgwf
骄傲	cgwg
驱使	cgwg
驳倒	cgwg
难于登天	cwgfwgwg
又一个	ccggwh
马修	cgwh
马倌	cgwp
骈体	cgws
骗人	cgww
骇人	cgww
骄人	cgww
骚货	cgwx
驻华	cgwx
验货	cgwx
驯化	cgwx
驼绒	cgxa
骑缝	cgxt
骄纵	cgxw
马诺	cgya
驯熟	cgyb
验证	cgyg
参政议政	cdghyyyy
驻京	cgyi
骤变	cgyo
驯良	cgyv
驳论	cgyw
骈文	cgyy
马列主义	cggqygyg
双眼皮	cchvbn
骑虎难下	cghwcwcw
难上难	cwhhcw
难上加难	cwhhekek
圣卢西亚	cfhnsgsg
犒赏三军	cyipdgdg
邓小平	cbihgu
对酒当歌	cfisiviv
台湾省	ckiyit
特派员	cfirkm
观光团	cmiglf
观光客	cmigpt
台湾岛	ckiyqm
双学位	ccipwu
特洛伊	cfitwv
台湾人	ckiyww
参照物	cdjvcq
物归原主	cqjvdrdr
对照表	cfjvge
马里亚那	cgjfgogo
验明正身	cgjeghgh
马蜂窝	cgjtpw
马歇尔	cgjqqi
鹬蚌相争	cnjdshsh
鹬蚌相持	cnjdshsh
鹬蚌相争渔翁得利	cnjdshqvtj
鹬蚌相争渔人得利	cnjdshqvtj
马里奥	cgjftm
参照系	cdjvtx
马里兰	cgjfud
物是人非	cqjgwwww
熊明华	cejewx
台式	ckaa
怠工	ckaa
台东	ckai
马蹄莲	cgkhal
台子	ckbb
台联	ckbu
台阶	ckbw
巴哈马	cnkwcg
难兄难弟	cwkqcwcw
台历	ckde
鸡鸣而起	cqkqdmdm
驴鸣犬吠	cgkqdgdg
台面	ckdl
台布	ckdm
台基	ckdw
台服	ckeb
台架	ckek
台胞	ckeq
台办	ckew
台地	ckfb
台城	ckfd
台南	ckfm
台球	ckgg
台下	ckgh
台班	ckgy
台上	ckhh
台步	ckhh
台港	ckia
欢呼雀跃	cqktiwiw
台海	ckit
台湾	ckiy
台盟	ckje
特别是	cfkejg
台电	ckjn
台中	ckkh
台山	ckmm
台账	ckmt
马踏飞燕	cgkhnunu
怠惰	cknd
怠慢	cknj
台属	cknt
台灯	ckos
台数	ckov
台安	ckpv
台钳	ckqf
台钟	ckqk
台独	ckqt
鸡鸣狗盗	cqkqqtqt
台标	cksf
台本	cksg
台甫	cksg
怠速	cksk
台柱	cksy
台长	ckta
台笔	ckte
台秤	cktg
欢蹦乱跳	cqkhtdtd
台币	cktm
对号入座	cfkgtyty
台塑	ckub
台前	ckue
台资	ckuq
台北	ckux
台妹	ckvf
台企	ckwh
台风	ckwr
台语	ckyg
台词	ckyn
台州	ckyt
台商	ckyu
桑田沧海	cclliwiw
双鸭山	cclqmm
鸡鸭鱼肉	cqlqqgqg
双轨制	cclvtg
特困生	cflstg
牡丹花下死	cfmyawghgq
观感	cmdg
观其	cmdw
观月	cmee
观者	cmft
观止	cmhh
观点	cmhk
观战	cmhk
观瞻	cmhq
牡丹江	cfmyia
观潮	cmif
观光	cmig
观测	cmim
观赏	cmip
观海	cmit
观澜	cmiu
观览	cmjt
观照	cmjv
观景	cmjy
观影	cmjy
巴山蜀水	cnmmlqlq
鸡同鸭讲	cqmglqlq
能见度	cemqoa
观摩	cmos
观灯	cmos
观赛	cmpa
观之	cmpp
观察	cmpw
观礼	cmpy
观色	cmqc
观象	cmqk
观后	cmrg
观看	cmrh
观想	cmsh
观音	cmuj
观风	cmwr
观众	cmww
观念	cmwy
双曲线	ccmaxg
巴山夜雨	cnmmywyw
观望	cmyn
巴萨	cnab
巴东	cnai
双飞燕	ccnuak
难民营	cwnaap
预警	cnaq
巴陵	cnbf
预防	cnby
又惊又喜	ccnycccc
巴特	cncf
巴马	cncg
巴巴	cncn
柔柔	cncn
难以预料	cwnycncn
能屈能伸	cenbcece
物尽其用	cqnydwdw
矜夸	cndf
预感	cndg
通情达理	cengdpdp
预存	cndh
巴厘	cndj
预期	cndw
熊心豹胆	cenyeqeq
柔肠	cnen
预支	cnfc
巴士	cnfg
预示	cnfi
预埋	cnfj
巴南	cnfm
柔韧	cnfn
柔声	cnfn
巴赫	cnfo
预考	cnft
特快专递	cfnnfnfn
巴顿	cngb
巴豆	cngk
预卜	cnhh
婺源	cnid
预测	cnim
柔滑	cnim
巴掌	cnip
预演	cnip
鸡尾酒	cqneis
柔润	cniu
巴盟	cnje
预览	cnjt
鸡蛋里挑骨头	cqnhjfrqud
鸡蛋里找骨头	cqnhjfraud
柔顺	cnkd
巴中	cnkh
巴哈	cnkw
预置	cnlf
柔软	cnlq
巴蜀	cnlq
难以置信	cwnylflf
蟊贼	cnma
巴山	cnmm
预见	cnmq
预购	cnmq
预展	cnna
豫剧	cnnd
柔情	cnng
预收	cnnh
鸡飞蛋打	cqnunhnh
柔性	cnnt
戏剧性	candnt
预习	cnnu
予以	cnny
巴以	cnny
物以类聚	cqnyodod
巴库	cnol
预断	cnon
预料	cnou
通心粉	cenyow
预赛	cnpa
预定	cnpg
戏剧家	candpg
预审	cnpj
柔情蜜意	cnngpnpn
预案	cnpv
预祝	cnpy
预兆	cnqi
巴尔	cnqi
鸡飞狗跳	cqnuqtqt
巴金	cnqq
预留	cnqy
预报	cnrb
矛盾	cnrf
矜持	cnrf
预后	cnrg
预提	cnrj
马尼拉	cgnxru
预热	cnrv
巴西	cnsg
预想	cnsh
巴林	cnss
预检	cnsw
柔术	cnsy
预知	cntd
巴乔	cntd
预告	cntf
预先	cntf
预选	cntf
预制	cntg
预算	cnth
柔和	cntk
物以稀为贵	cqnytryekh
预备	cntl
巴黎	cntq
预科	cntu
矛头	cnud
预装	cnuf
预判	cnug
柔美	cnug
豫章	cnuj
验收单	cgnhuj
预交	cnur
柔道	cnut
预冷	cnuw
柔媚	cnvn
柔婉	cnvp
柔嫩	cnvs
预借	cnwa
预估	cnwd
预付	cnwf
柔情似水	cnngwnwn
预分	cnwv
予人	cnww
巴人	cnww
柔化	cnwx
戏剧化	candwx
预售	cnwy
巴结	cnxf
柔细	cnxl
预约	cnxq
预缴	cnxr
柔弱	cnxu
预计	cnyf
预谋	cnyf
难以启齿	cwnyynyn
巴望	cnyn
难以忘怀	cwnyynyn
双性恋	ccntyo
预订	cnys
巴州	cnyt
预设	cnyw
难以为继	cwnyyeye
预言	cnyy
叠床架屋	ccosekek
预应力	cnoien
鸡烂嘴巴硬	cqoukhcndg
叉烧包	cyoaqn
物业费	cqohxj
观礼台	cmpyck
双宿双飞	ccpwcccc
通宵达旦	cepidpdp
勇冠三军	cepfdgdg
马赛克	cgpadq
观察力	cmpwen
参赛者	cdpaft
观察员	cmpwkm
巴塞罗那	cnpalqlq
马赛曲	cgpama
观察家	cmpwpg
观察室	cmpwpg
通家之好	cepgpppp
桑寄生	ccpdtg
马尔萨斯	cgqiabab
马铃薯	cgqwal
鸡子	cqbb
欢聚	cqbc
鸡皮	cqbn
巴尔特	cnqicf
观象台	cmqkck
鸡巴	cqcn
鸡鸡	cqcq
难解难分	cwqecwcw
鸡肋	cqee
鸡肝	cqef
鸡脚	cqef
鸡肫	cqeg
物力	cqen
欢爱	cqep
鸡胸	cqeq
鸡毛	cqet
欢腾	cqeu
鸡腿	cqev
鸡翅	cqfc
巴尔干	cnqifg
欢喜	cqfk
欢声	cqfn
物耗	cqfs
双色球	ccqcgg
物理	cqgj
物事	cqgk
对外开放	cfqhgaga
鸡眼	cqhv
鸡婆	cqib
鸡汤	cqin
允浩	cqit
物流	cqiy
欢畅	cqjh
物归	cqjv
物景	cqjy
欢跳	cqkh
欢唱	cqkj
物品	cqkk
欢叫	cqkn
鸡鸣	cqkq
驰名中外	cgqkkhkh
欢呼	cqkt
鸡啼	cqky
鸡鸭	cqlq
鸡骨	cqme
鸡肉	cqmw
鸡尾	cqne
鸡蛋	cqnh
欢快	cqnn
欢悦	cqnu
欢愉	cqnw
欢心	cqny
欢度	cqoa
欢庆	cqod
物类	cqod
勇猛精进	ceqtogog
鸡精	cqog
物业	cqoh
马尔库塞	cgqiolol
物料	cqou
双鱼座	ccqgow
鸡冠	cqpf
欢宴	cqpj
欢实	cqpu
鸡窝	cqpw
欢迎	cqqb
物色	cqqc
物外	cqqh
对外贸易	cfqhqyqy
物象	cqqk
物镜	cqqu
鸡雏	cqqv
巴尔扎克	cnqirnrn
物质	cqrf
鸡爪	cqrh
物探	cqrp
欢欣	cqrq
物权	cqsc
鸡棚	cqse
鸡丁	cqsg
鸡西	cqsg
欢歌	cqsk
验钞机	cgqisw
鸡笼	cqtd
物种	cqtk
鸡血	cqtl
欢乐	cqtn
物管	cqtp
欢笑	cqtt
欢送	cqud
鸡头	cqud
鸡瘟	cquj
物资	cquq
欢颜	cqut
物产	cqut
允准	cquw
欢闹	cquy
欢好	cqvb
鸡奸	cqvf
犄角旮旯	cdqevjvj
欢娱	cqvk
鸡杂	cqvs
鸡公	cqwc
鸡舍	cqwf
马尔代夫	cgqiwawa
物候	cqwh
物像	cqwq
物体	cqws
物件	cqwt
物价	cqww
物欲	cqww
物化	cqwx
对角线	cfqexg
巴解组织	cnqexexe
允诺	cqya
物证	cqyg
物主	cqyg
物语	cqyg
允许	cqyt
欢欣若狂	cqrqadad
对手戏	cfrtca
观后感	cmrgdg
巴拉克	cnrudq
巴拉圭	cnruff
欢欣鼓舞	cqrqfkfk
双氧水	ccruii
驴打滚	cgrsiu
物换星移	cqrqjtjt
骄兵必败	cgrwntnt
马后炮	cgrgoq
对抗赛	cfrypa
骄兵之计	cgrwpppp
马拉多纳	cgruqqqq
马拉松	cgrusw
勇挑重担	cerqtgtg
驱护舰	cgrytu
双手剑	ccrtwg
能掐会算	cerqwfwf
特拉华	cfruwx
特拉维夫	cfruxwxw
马拉维	cgruxw
物质文明	cqrfyyyy
台柱子	cksybb
巴西队	cnsgbw
牺牲	csct
巴格达	cnstdp
通权达变	cescdpdp
物权法	cqscif
巴甫洛夫	cnsgitit
马可波罗	cgskibib
物极必反	cqsbntnt
通配符	cesgtw
欢歌笑语	cqsktttt
颈椎病	caswug
能歌善舞	ceskuuuu
牧工	ctaa
牧草	ctaj
牧区	ctar
牟取	ctbc
预备队	cntlbw
牧马	ctcg
难乎其难	cwtudwdw
牧犬	ctdg
难辞其咎	cwtddwdw
对得起	cftjfh
牧场	ctfn
勇往直前	cetyfhfh
预处理	cnthgj
难得一见	cwtjgggg
牟平	ctgu
对我来说	cftrgugu
马德里	cgtfjf
牧师	ctjg
台积电	cktkjn
牲口	ctkk
预算员	cnthkm
劲乐团	catnlf
劲舞团	catglf
牧民	ctna
能征惯战	cetgnxnx
通知书	cetdnn
牧业	ctoh
难得糊涂	cwtjodod
预选赛	cntfpa
特种兵	cftkrw
牧歌	ctsk
预告片	cntfth
牟利	cttj
双簧管	cctatp
预备役	cntltw
圣彼得堡	cftbtjtj
特种部队	cftkukuk
牧童	ctuj
通知单	cetduj
马失前蹄	cgtgueue
特等奖	cftfuq
牧羊	ctuy
对答如流	cftwvkvk
牧群	ctvt
牧女	ctvv
对簿公堂	cftiwcwc
牧人	ctww
欢乐谷	cqtnww
对牛弹琴	cftgxuxu
双系统	cctxxy
通行证	cetgyg
双管齐下	cctpyjyj
牲畜	ctyx
难乎为继	cwtuyeye
观音菩萨	cmujauau
特效药	cfurax
参差不一	cduadhdh
预产期	cnutdw
参差不齐	cduadhdh
圣斗士	cfuffg
对症下药	cfugghgh
物竞天择	cqukgdgd
巴彦淖尔	cnutihih
马首是瞻	cgutjgjg
马六甲	cguylh
对症之药	cfugpppp
参差错落	cduaqaqa
特立独行	cfuuqtqt
劝善惩恶	ceuutgtg
物美价廉	cqugwwww
牧羊人	ctuyww
双关语	ccudyg
台北市	ckuxym
巴音郭楞	cnujybyb
难道说	cwutyu
马前卒	cgueyw
艰苦	cvad
艰巨	cvan
艰险	cvbw
艰难	cvcw
艰深	cvip
艰涩	cviv
圣女果	cfvvjs
艰困	cvls
艰危	cvqd
艰辛	cvuy
双刃剑	ccvywg
难如登天	cwvkwgwg
难除	cwbw
难能	cwce
巴拿马	cnwgcg
难分难解	cwwvcwcw
难舍难分	cwwfcwcw
难分难舍	cwwvcwcw
难友	cwdc
难有	cwde
难登大雅之堂	cwwgddahip
难耐	cwdm
物伤其类	cqwtdwdw
通货膨胀	cewxefef
难觅	cwem
难受	cwep
难胞	cweq
难用	cwet
马化腾	cgwxeu
难办	cwew
难堪	cwfd
通今博古	cewyfsfs
预付款	cnwfff
通信地址	cewyfbfb
难过	cwfp
难于	cwgf
难求	cwgi
难事	cwgk
物华天宝	cqwxgdgd
难熬	cwgq
难平	cwgu
难卜	cwhh
难点	cwhk
难眠	cwhn
皴法	cwif
难消	cwii
难测	cwim
难学	cwip
难当	cwiv
桑拿浴	ccwgiw
难题	cwjg
双休日	ccwsjj
通俗易懂	cewwjqjq
难易	cwjq
难咽	cwkl
予人口实	cnwwkkkk
难听	cwkr
难吃	cwkt
骇人听闻	cgwwkrkr
骚人墨客	cgwwlflf
圣保罗	cfwklq
通信网	cewymr
难民	cwna
难懂	cwna
难怪	cwnc
物价局	cqwwnn
难买	cwnu
难以	cwny
难度	cwoa
双人床	ccwwos
难料	cwou
难写	cwpg
难容	cwpw
难色	cwqc
难解	cwqe
难逃	cwqi
难免	cwqk
难找	cwra
难捱	cwrd
难看	cwrh
难打	cwrs
通风报信	cewrrbrb
难搞	cwry
难酬	cwsg
物欲横流	cqwwsasa
双人舞	ccwwtg
巴伐利亚	cnwatjtj
难处	cwth
骄傲自满	cgwgthth
难得	cwtj
难答	cwtw
难闻	cwub
难关	cwud
难症	cwug
难道	cwut
难产	cwut
难辨	cwuy
难寻	cwvf
难如	cwvk
逡巡	cwvp
难忍	cwvy
难做	cwwd
难舍	cwwf
难倒	cwwg
难保	cwwk
双剑合璧	ccwgwgwg
马仰人翻	cgwqwwww
难分	cwwv
难人	cwww
难住	cwwy
预付费	cnwfxj
难缠	cwxo
难为	cwye
难讲	cwyf
难忘	cwyn
难说	cwyu
难言	cwyy
又红又专	ccxacccc
双引号	ccxhkg
对比度	cfxxoa
马绍尔群岛	cgxvqivtqm
通缉犯	cexkqt
巴比伦	cnxxww
通缉令	cexkwy
双绞线	ccxuxg
圣诞节	cfytab
犒劳	cyap
叉子	cybb
参议院	cdyybp
能文能武	ceyycece
叉叉	cycy
验证码	cgygdc
观望不前	cmyndhdh
叉腰	cyes
马放南山	cgytfmfm
圣诞老人	cfytftft
叉开	cyga
犒赏	cyip
通讯员	ceynkm
参议员	cdyykm
叉车	cylg
难为情	cwyeng
叉烧	cyoa
难言之隐	cwyypppp
预言家	cnyypg
通讯社	ceynpy
叉手	cyrt
对话框	cfytsa
圣诞树	cfytsc
对讲机	cfyfsw
参谋长	cdyfta
通讯簿	ceynti
能言善辩	ceyyuuuu
通讯录	ceynvi
参议会	cdyywf
能说会道	ceyuwfwf
通讯费	ceynxj
台州市	ckytym
圣诞夜	cfytyw
灰蒙蒙	doapap
大巧若拙	ddagadad
斯蒂芬	dwayaw
碟子	dabb
左耳	dabg
砸了	dabn
有苦难言	deadcwcw
不劳而获	dhapdmdm
砸破	dadb
百慕大	djajdd
砌砖	dadf
左右	dadk
左面	dadl
大草原	ddajdr
达芬奇	dpawds
克勤克俭	dqakdqdq
泰勒斯	dwafdw
砸碎	dady
砸毁	daea
左肋	daee
左脚	daef
左边	daep
左胸	daeq
面黄肌瘦	dlamewew
左腿	daev
左脸	daew
左脑	daey
砸坏	dafd
砌墙	daff
不共戴天	dhawfafa
左起	dafh
砌块	dafn
成功者	dnaeft
砸开	daga
砸到	dagc
面若死灰	dladgqgq
左下	dagh
砸死	dagq
胡萝卜素	dealhhhh
胡萝卜	dealhh
左上	dahh
左眼	dahv
左掌	daip
成功学	dnaeip
左派	dair
左海	dait
大黄蜂	ddamjt
左路	dakh
左转	dalf
砸车	dalg
左图	dalt
左轮	dalw
雁荡山	dwaimm
奇花异草	dsawnana
左臂	dank
左翼	danl
砸烂	daou
不世之功	dhanpppp
不切实际	dhavpupu
不落窠臼	dhaipwpw
大雅之堂	ddahpppp
奉若神明	dwadpypy
成功之路	dnaepppp
不惑之年	dhakpppp
左袒	dapu
百花争艳	djawqvqv
左角	daqe
砸钱	daqg
布莱尔	dmagqi
砸锅	daqk
左键	daqv
左后	darg
砸掉	darh
左拐	dark
左近	darp
左手	dart
左拉	daru
耍花招	dmawrv
磺酸	dasg
耍花样	dmawsu
耍花枪	dmawsw
碟机	dasw
砌筑	data
大功告成	ddaetftf
不攻自破	dhatthth
春花秋月	dwawtoto
左迁	datf
碟片	dath
左翻	dato
左移	datq
左舷	datu
左端	daum
欺世盗名	dwanuquq
犬牙交错	dgahurur
左道	daut
砸门	dauy
古惑仔	dgakwb
不落俗套	dhaiwwww
大获全胜	ddaqwgwg
左传	dawf
左侧	dawm
砸伤	dawt
砸人	daww
左倾	dawx
丰功伟绩	dhaewfwf
百花齐放百家争鸣	djawyjytkq
左旋	dayt
成功率	dnaeyx
大功率	ddaeyx
左方	dayy
百花齐放	djawyjyj
破戒	dbaa
克孜勒苏	dqbtafaf
破鞋	dbaf
破落	dbai
破茧	dbaj
破获	dbaq
成也萧何败也萧何	dnbnavwsws
太阳花	dybjaw
大孩子	ddbybb
破陋	dbbg
破阵	dbbl
破皮	dbbn
不了了之	dhbnbnbn
破除	dbbw
顾及	dbby
破防	dbby
太阳能	dybjce
厄难	dbcw
不阴不阳	dhbedhdh
奇耻大辱	dsbhdddd
太阳石	dybjdg
破布	dbdm
有职有权	debkdede
奉子成婚	dwbbdndn
不及其余	dhbydwdw
破碎	dbdy
破胆	dbej
大陆架	ddbgek
破脸	dbew
厄运	dbfc
破坏	dbfd
顾城	dbfd
破土	dbff
太阳井	dybjfj
破壳	dbfp
有限元	debvfq
有职无权	debkfqfq
厄境	dbfu
破击	dbgb
艳阳天	dhbjgd
破五	dbgg
破事	dbgk
有限责任公司	debvgmwtng
破灭	dbgo
破裂	dbgq
三险一金	dgbwgggg
不耻下问	dhbhghgh
破旧	dbhj
顾虑	dbhn
顾盼	dbhw
破法	dbif
破洞	dbim
破浪	dbiy
破晓	dbja
破题	dbjg
破口	dbkk
破车	dblg
破甲	dblh
破财	dbmf
布隆迪	dmbtmp
破网	dbmr
破败	dbmt
顾惜	dbna
破壁	dbnk
顾忌	dbnn
破书	dbnn
三联书店	dgbunnnn
破庙	dbom
破烂	dbou
破除迷信	dbbwopop
破定	dbpg
顾家	dbpg
破军	dbpl
破密	dbpn
顾客	dbpt
破案	dbpv
破空	dbpw
太阳穴	dybjpw
太阳神	dybjpy
破解	dbqe
不了解	dhbnqe
厄尔	dbqi
破锣	dbql
斯皮尔伯格	dwbnqiwrst
太阳镜	dybjqu
破瓜	dbrc
胡子拉碴	debbruru
三聚氰胺	dgbcrgrg
破掉	dbrh
破损	dbrk
不出所料	dhbmrnrn
耷拉	dbru
大卫杜夫	ddbgsfsf
破相	dbsh
破格	dbst
有隙可乘	debisksk
不及格	dhbyst
原子核	drbbsy
大队长	ddbwta
破罐	dbtf
破处	dbth
大出血	ddbmtl
百孔千疮	djbntftf
太阳系	dybjtx
破关	dbud
不孕症	dhbbug
破冰	dbui
破音	dbuj
三联单	dgbuuj
顾问	dbuk
破产	dbut
顾准	dbuw
破门	dbuy
破例	dbwg
顾全	dbwg
有限公司	debvwcwc
顾念	dbwy
破费	dbxj
破绽	dbxp
顾绣	dbxt
原子弹	drbbxu
破译	dbyc
顾主	dbyg
历险记	debwyn
斯特劳斯	dwcfapap
克难攻坚	dqcwatat
雄黄	dcam
雄蕊	dcan
丰台区	dhckar
雄花	dcaw
码子	dcbb
友联	dcbu
雄劲	dcca
不对劲	dhcfca
雄鸡	dccq
不欢而散	dhcqdmdm
成双成对	dnccdndn
雄大	dcdd
斯巴达克	dwcndpdp
雄威	dcdg
大难不死	ddcwdhdh
不能不	dhcedh
雄厚	dcdj
不骄不躁	dhcgdhdh
面对面	dlcfdl
大难不死必有后福	ddcwdhgqpy
斯巴达	dwcndp
雄奇	dcds
友邦	dcdt
有勇有谋	decedede
友朋	dcee
雄县	dceg
友爱	dcep
雄霸	dcfa
友协	dcfe
龙骑士	dxcgfg
